Flows,,,
Id,Src,Tgt,Size (in Flits),Rate (in Flits/CT)
F1,N0.0,N1.1,1024,1024/50000000
F2,N1.1,N0.2,2048,2048/50000000
F3,N0.2,N1.1,16384,16384/50000000
F4,N0.2,N0.1,16384,16384/50000000
F5,N1.1,N3.3,512,512/10000000
F6,N3.2,N1.1,512,512/10000000
F7,N1.1,N1.3,1024,1024/10000000
F8,N0.2,N1.0,38400,38400/4000000
F9,N3.3,N2.3,38400,38400/4000000
F10,N1.0,N1.1,512,512/4000000
F11,N2.3,N1.1,512,512/4000000
F12,N0.0,N1.0,38400,38400/4000000
F13,N0.1,N1.1,38400,38400/4000000
F14,N0.2,N1.2,38400,38400/4000000
F15,N0.3,N1.3,38400,38400/4000000
F16,N3.0,N2.0,38400,38400/4000000
F17,N3.2,N2.1,38400,38400/4000000
F18,N3.1,N2.2,38400,38400/4000000
F19,N3.3,N2.3,38400,38400/4000000
F20,N1.0,N2.1,2048,2048/4000000
F21,N1.1,N2.1,2048,2048/4000000
F22,N1.2,N2.1,2048,2048/4000000
F23,N1.3,N2.1,2048,2048/4000000
F24,N2.0,N1.2,2048,2048/4000000
F25,N2.1,N1.2,2048,2048/4000000
F26,N2.2,N1.2,2048,2048/4000000
F27,N2.3,N1.2,2048,2048/4000000
F28,N2.1,N2.2,8192,8192/4000000
F29,N1.2,N2.2,8192,8192/4000000
F30,N2.2,N0.1,4096,4096/4000000
F31,N0.0,N0.1,1024,1024/50000000
F32,N0.3,N0.1,1024,1024/10000000
F33,N0.1,N0.2,4096,4096/100000000
F34,N0.3,N3.1,2048,2048/50000000
F35,N2.0,N3.1,512,512/10000000
F36,N3.1,N3.0,2048,2048/100000000
F37,N3.2,N3.1,1024,1024/10000000
F38,N3.1,N1.3,1024,1024/10000000
,,,
Arrival curves,,,
Id,Burst (in Flits),Rate (in Flit/CTs),
AC1,1,1,
