Router types,,
Type id,Speed (in MBps),Switching delay (in CT)
1,100,1
,,

Nodes,4x4,,
N0.0,N1.0,N2.0,N3.0
N0.1,N1.1,N2.1,N3.1
N0.2,N1.2,N2.2,N3.2
N0.3,N1.3,N2.3,N3.3
,,,
Links,bi-mesh,,
id,Src,Tgt
L_00_01,N0.0,N0.1
L_00_10,N0.0,N1.0
L_01_00,N0.1,N0.0
L_01_11,N0.1,N1.1
L_01_02,N0.1,N0.2
L_02_01,N0.2,N0.1
L_02_12,N0.2,N1.2
L_02_03,N0.2,N0.3
L_03_02,N0.3,N0.2
L_03_13,N0.3,N1.3
L_10_00,N1.0,N0.0
L_10_11,N1.0,N1.1
L_10_20,N1.0,N2.0
L_11_01,N1.1,N0.1
L_11_12,N1.1,N1.2
L_11_21,N1.1,N2.1
L_11_10,N1.1,N1.0
L_12_02,N1.2,N0.2
L_12_13,N1.2,N1.3
L_12_22,N1.2,N2.2
L_12_11,N1.2,N1.1
L_13_03,N1.3,N0.3
L_13_23,N1.3,N2.3
L_13_12,N1.3,N1.2
L_20_10,N2.0,N1.0
L_20_21,N2.0,N2.1
L_20_30,N2.0,N3.0
L_21_11,N2.1,N1.1
L_21_22,N2.1,N2.2
L_21_31,N2.1,N3.1
L_21_20,N2.1,N2.0
L_22_12,N2.2,N1.2
L_22_23,N2.2,N2.3
L_22_32,N2.2,N3.2
L_22_21,N2.2,N2.1
L_23_13,N2.3,N1.3
L_23_33,N2.3,N3.3
L_23_22,N2.3,N2.2
L_30_20,N3.0,N2.0
L_30_31,N3.0,N3.1
L_31_21,N3.1,N2.1
L_31_32,N3.1,N3.2
L_31_30,N3.1,N3.0
L_32_22,N3.2,N2.2
L_32_33,N3.2,N3.3
L_32_31,N3.2,N3.1
L_33_23,N3.3,N2.3
L_33_32,N3.3,N3.2
,,
Abbreviations
MBps,Mega Bytes per second,
CT,Cycle Time,
